"common_name","scientific_name","migration","garnett_movement","feeding_guild","trophic_level","primary_lifestyle","foraging_stratum","habitat_breadth","iucn_status","epbc_status","nsw_status","botw_seasonal_codes"
"Lord Howe Rail","Gallirallus sylvestris","Sedentary",NA,"Invertivore","Carnivore","Terrestrial","ground",1,"EN",NA,NA,NA
"Sooty Owl","Tyto tenebricosa","Sedentary","local dispersal","Vertivore","Carnivore","Generalist","mid-high",2,"LC","not listed","VU","1"
"Siberian Sand-Plover","Anarhynchus mongolus","Migratory",NA,"Aquatic predator","Carnivore","Terrestrial",NA,4,"EN",NA,NA,"2;3;4"
"Great Knot","Calidris tenuirostris","Migratory","total migrant","Aquatic predator","Carnivore","Terrestrial","ground",4,"EN","not listed","VU","2;3;4"
"Wood Sandpiper","Tringa glareola","Migratory","total migrant","Aquatic predator","Carnivore","Terrestrial","around-water",8,"LC","not listed","not listed","2;3;4"
"Red-tailed Black-Cockatoo","Calyptorhynchus banksii","Sedentary","local dispersal;nomadic","Granivore","Herbivore","Insessorial","ground",1,"LC","EN","CR","1"
"Sooty Tern","Onychoprion fuscatus","Partial migrant","total migrant","Aquatic predator","Carnivore","Aerial","pelagic",3,"LC","not listed","VU","1;2;3;4"
"Rufous Scrub-bird","Atrichornis rufescens","Sedentary","local dispersal","Invertivore","Carnivore","Terrestrial","ground",2,"EN","EN","VU","1"
"Parasitic Jaeger","Stercorarius parasiticus","Migratory","total migrant","Aquatic predator","Carnivore","Aerial","ground",3,"LC","not listed","not listed","2;3"
"Australian Masked-Owl","Tyto novaehollandiae","Sedentary","local dispersal","Vertivore","Carnivore","Insessorial","ground",6,"LC","EN","VU","1"
"Indian Peafowl","Pavo cristatus","Sedentary","local dispersal","Omnivore","Omnivore","Terrestrial","ground",3,"LC","not listed","not listed","1"
"Gilbert's Whistler","Pachycephala inornata","Sedentary","local dispersal","Invertivore","Carnivore","Insessorial","understory",3,"LC","not listed","VU","1"
